review,tokens,explicit aspects,explicit opinion,implicit aspects,implicit opinion,is_suggestion,explicit aspects positions,explicit opinion positions,aspect_tags
A tv está abaixando o volume sozinho deve ser algum defeito,"['A', 'tv', 'está', 'abaixando', 'o', 'volume', 'sozinho', 'deve', 'ser', 'algum', 'defeito']",['tv'],['abaixando o volume sozinho'],[],[],,"[[1, 2]]","[[3, 7]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Inter agora ta de boa ótimo produto com funções e aplicativos que muitas tvs de outras marcas não tem fiz uma boa compra.,"['Inter', 'agora', 'ta', 'de', 'boa', 'ótimo', 'produto', 'com', 'funções', 'e', 'aplicativos', 'que', 'muitas', 'tvs', 'de', 'outras', 'marcas', 'não', 'tem', 'fiz', 'uma', 'boa', 'compra', '.']",['produto'],['ótimo'],[],[],1,"[[6, 7]]","[[5, 6]]","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Ótima TV, superou minhas expectativas. Simples e fácil de usar, imagem, som, conexão e tudo mais. Estou satisfeita!","['Ótima', 'TV', ',', 'superou', 'minhas', 'expectativas', '.', 'Simples', 'e', 'fácil', 'de', 'usar', ',', 'imagem', ',', 'som', ',', 'conexão', 'e', 'tudo', 'mais', '.', 'Estou', 'satisfeita', '!']",[],[],[],[],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Tem um ótimo custo-benefício uma pena não ser full HD!,"['Tem', 'um', 'ótimo', 'custo-benefício', 'uma', 'pena', 'não', 'ser', 'full', 'HD', '!']",['custo-benefício'],['ótimo'],['resolução'],['não ser full hd'],,"[[3, 4]]","[[2, 3]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Tudo conforme anunciado. Chegou dentro do prazo. Embalagem adequada. Nada contra.,"['Tudo', 'conforme', 'anunciado', '.', 'Chegou', 'dentro', 'do', 'prazo', '.', 'Embalagem', 'adequada', '.', 'Nada', 'contra', '.']",['embalagem'],['adequada'],"['produto', 'entrega']","['conforme anunciado', 'dentro do prazo']",,"[[9, 10]]","[[10, 11]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']"
Gostei muito. Imagem e som Muito boa. Recomendo,"['Gostei', 'muito', '.', 'Imagem', 'e', 'som', 'Muito', 'boa', '.', 'Recomendo']","['imagem', 'som']","['muito boa', 'muito boa']",['produto'],['recomendo'],,"[[3, 4], [5, 6]]","[[6, 8], [6, 8]]","['O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
"Chegou muito antes da previsão de entrega, entrega rápida, produto bem embalado.","['Chegou', 'muito', 'antes', 'da', 'previsão', 'de', 'entrega', ',', 'entrega', 'rápida', ',', 'produto', 'bem', 'embalado', '.']","['entrega', 'entrega', 'produto']","['antes da previsão', 'rápida', 'bem embalado']",[],[],,"[[6, 7], [8, 9], [11, 12]]","[[2, 5], [9, 10], [12, 14]]","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
Conexão com internet ótima. Som e imagem perfeitos. Fácil de usar,"['Conexão', 'com', 'internet', 'ótima', '.', 'Som', 'e', 'imagem', 'perfeitos', '.', 'Fácil', 'de', 'usar']","['conexão com internet', 'som', 'imagem']","['ótima', 'perfeitos', 'perfeitos']",['usabilidade'],['fácil de usar'],,"[[0, 3], [5, 6], [7, 8]]","[[3, 4], [8, 9], [8, 9]]","['B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']"
Pelo preço poderia vir mais algumas entradas usb e hdmi,"['Pelo', 'preço', 'poderia', 'vir', 'mais', 'algumas', 'entradas', 'usb', 'e', 'hdmi']",['entradas usb e hdmi'],['poderia vir mais algumas'],[],[],,"[[6, 10]]","[[2, 6]]","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
Tv ótima p quem procura de tudo q uma smart tv tem... show!!!,"['Tv', 'ótima', 'p', 'quem', 'procura', 'de', 'tudo', 'q', 'uma', 'smart', 'tv', 'tem', '...', 'show', '!', '!', '!']",['tv'],['ótima'],['produto'],['show'],,"[[0, 1]]","[[1, 2]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Recebi bem antes do prazo e a tv e excelente... amando.,"['Recebi', 'bem', 'antes', 'do', 'prazo', 'e', 'a', 'tv', 'e', 'excelente', '...', 'amando', '.']",['tv'],['excelente'],"['entrega', 'produto']","['bem antes do prazo', 'amando']",,"[[7, 8]]","[[9, 10]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']"
"Ótimo produto, chegou bem antes do previsto e agora só curtindo minha tv. ;)","['Ótimo', 'produto', ',', 'chegou', 'bem', 'antes', 'do', 'previsto', 'e', 'agora', 'só', 'curtindo', 'minha', 'tv', '.', ';)']","['produto', 'tv']","['ótimo', 'curtindo']",['entrega'],['chegou bem antes do previsto'],,"[[1, 2], [13, 14]]","[[0, 1], [11, 12]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']"
A Tv chegou até antes do prazo e está em pleno funcionamento. Estou muito satisfeita com a compra.,"['A', 'Tv', 'chegou', 'até', 'antes', 'do', 'prazo', 'e', 'está', 'em', 'pleno', 'funcionamento', '.', 'Estou', 'muito', 'satisfeita', 'com', 'a', 'compra', '.']",[],[],['entrega'],['antes do prazo'],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Ótima aquisição SHOW! Podem comprar que irão ficar muito satisfeito com o produto.,"['Ótima', 'aquisição', 'SHOW', '!', 'Podem', 'comprar', 'que', 'irão', 'ficar', 'muito', 'satisfeito', 'com', 'o', 'produto', '.']",['produto'],['satisfeito'],['produto'],['show'],,"[[13, 14]]","[[10, 11]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
"TV Smart com alta tecnologia com conexão internet, redes sociais e outros. recomendo","['TV', 'Smart', 'com', 'alta', 'tecnologia', 'com', 'conexão', 'internet', ',', 'redes', 'sociais', 'e', 'outros', '.', 'recomendo']",[],[],[],[],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"É um produto bom, porém as vezes é muito lenta. Principalmente ao ligar ou sair de um aplicativo. Mas a imagem e o som são ótimos.","['É', 'um', 'produto', 'bom', ',', 'porém', 'as', 'vezes', 'é', 'muito', 'lenta', '.', 'Principalmente', 'a', 'o', 'ligar', 'ou', 'sair', 'de', 'um', 'aplicativo', '.', 'Mas', 'a', 'imagem', 'e', 'o', 'som', 'são', 'ótimos', '.']","['produto', 'imagem', 'som']","['bom', 'ótimos', 'ótimos']",['desempenho'],['as vezes é muito lenta'],,"[[2, 3], [24, 25], [27, 28]]","[[3, 4], [29, 30], [29, 30]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
"Perfeita, atendeu todas as minhas necessidades, além de ter uma ótima qualidade de imagem.","['Perfeita', ',', 'atendeu', 'todas', 'as', 'minhas', 'necessidades', ',', 'além', 'de', 'ter', 'uma', 'ótima', 'qualidade', 'de', 'imagem', '.']",['imagem'],['ótima qualidade'],"['produto', 'produto']","['perfeita', 'atendeu todas as minhas necessidades']",,"[[15, 16]]","[[12, 14]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
"Produto excelente,com muita tecnologia e rapidez, abriu todos os aplicativos como Netflix, que em uma outra tv minha não abre, com essa não tive problemas.","['Produto', 'excelente', ',', 'com', 'muita', 'tecnologia', 'e', 'rapidez', ',', 'abriu', 'todos', 'os', 'aplicativos', 'como', 'Netflix', ',', 'que', 'em', 'uma', 'outra', 'tv', 'minha', 'não', 'abre', ',', 'com', 'essa', 'não', 'tive', 'problemas', '.']",['produto'],['excelente'],['desempenho'],['rapidez'],,"[[0, 1]]","[[1, 2]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Muito boa a smart tv gostei super recomendo as pessoas Minha filha está amando foi um presente para ela .,"['Muito', 'boa', 'a', 'smart', 'tv', 'gostei', 'super', 'recomendo', 'as', 'pessoas', 'Minha', 'filha', 'está', 'amando', 'foi', 'um', 'presente', 'para', 'ela', '.']",['smart tv'],['muito boa'],[],[],,"[[3, 5]]","[[0, 2]]","['O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Não gostei do produto por que comprei o mesmo para atender as minhas necessidades e não atendeu.,"['Não', 'gostei', 'do', 'produto', 'por', 'que', 'comprei', 'o', 'mesmo', 'para', 'atender', 'as', 'minhas', 'necessidades', 'e', 'não', 'atendeu', '.']",['produto'],['não gostei'],[],[],,"[[3, 4]]","[[0, 2]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Comprei para minha mãe ela amou....esta muito satisfeita a entrega foi muito rápida.,"['Comprei', 'para', 'minha', 'mãe', 'ela', 'amou', '....', 'esta', 'muito', 'satisfeita', 'a', 'entrega', 'foi', 'muito', 'rápida', '.']",['entrega'],['muito rápida'],['produto'],['amou'],,"[[11, 12]]","[[13, 15]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
"TV fraca. Os aplicativos sempre travam, sendo necessário reiniciar o dispositivo. Mesmo sabendo tratar-se de um equipamento de dimensões reduzidas, seus alto falantes são ruins comparado aos dos concorrentes.","['TV', 'fraca', '.', 'Os', 'aplicativos', 'sempre', 'travam', ',', 'sendo', 'necessário', 'reiniciar', 'o', 'dispositivo', '.', 'Mesmo', 'sabendo', 'tratar-se', 'de', 'um', 'equipamento', 'de', 'dimensões', 'reduzidas', ',', 'seus', 'alto', 'falantes', 'são', 'ruins', 'comparado', 'a', 'os', 'dos', 'concorrentes', '.']","['tv', 'aplicativos', 'alto falantes']","['fraca', 'sempre travam', 'ruins']",[],[],,"[[0, 1], [4, 5], [25, 27]]","[[1, 2], [5, 7], [28, 29]]","['B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Produto muito bom. Só o smart que é meio lento. o app da netflix da uma travada as vezes. fora isso nao tenho do que reclamar,"['Produto', 'muito', 'bom', '.', 'Só', 'o', 'smart', 'que', 'é', 'meio', 'lento', '.', 'o', 'app', 'da', 'netflix', 'da', 'uma', 'travada', 'as', 'vezes', '.', 'fora', 'isso', 'nao', 'tenho', 'do', 'que', 'reclamar']","['produto', 'smart', 'app da netflix']","['muito bom', 'meio lento', 'da uma travada as vezes']",[],[],,"[[0, 1], [6, 7], [13, 16]]","[[1, 3], [9, 11], [16, 21]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Excelente produto, fácil de utilizar, imagem perfeita. Somente elogios ao produto adquirido","['Excelente', 'produto', ',', 'fácil', 'de', 'utilizar', ',', 'imagem', 'perfeita', '.', 'Somente', 'elogios', 'a', 'o', 'produto', 'adquirido']","['produto', 'imagem', 'produto']","['excelente', 'perfeita', 'somente elogios']",['usabilidade'],['fácil de utilizar'],,"[[1, 2], [7, 8], [14, 15]]","[[0, 1], [8, 9], [10, 12]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
"Excelente aparelho, tv fina e muito leve, entrega super no prazo","['Excelente', 'aparelho', ',', 'tv', 'fina', 'e', 'muito', 'leve', ',', 'entrega', 'super', 'no', 'prazo']","['aparelho', 'tv', 'entrega']","['excelente', 'fina', 'super no prazo']",['peso'],['leve'],,"[[1, 2], [3, 4], [9, 10]]","[[0, 1], [4, 5], [10, 13]]","['O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
"Adorei, imagem ótima, tv levinha, entrega em 6 dias, superou minhas expectativas.","['Adorei', ',', 'imagem', 'ótima', ',', 'tv', 'levinha', ',', 'entrega', 'em', '6', 'dias', ',', 'superou', 'minhas', 'expectativas', '.']","['imagem', 'entrega']","['ótima', 'superou minhas expectativas']",['peso'],['levinha'],,"[[2, 3], [8, 9]]","[[3, 4], [13, 16]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Muito bom a smartphone TV Samsung chegou antes do prazo previsto eu recomendo obrigado .,"['Muito', 'bom', 'a', 'smartphone', 'TV', 'Samsung', 'chegou', 'antes', 'do', 'prazo', 'previsto', 'eu', 'recomendo', 'obrigado', '.']",['smartphone tv samsung'],['muito bom'],"['entrega', 'produto']","['chegou antes do prazo', 'recomendo']",,"[[3, 6]]","[[0, 2]]","['O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"PARABENS AO SUBMARINO, QUE ENTREGOU DENTRO DO PRAZO COMBINADO, ALEM DE EXCELENTE PREÇO NA TV SMART SAMSUNG","['PARABENS', 'AO', 'SUBMARINO', ',', 'QUE', 'ENTREGOU', 'DENTRO', 'DO', 'PRAZO', 'COMBINADO', ',', 'ALEM', 'DE', 'EXCELENTE', 'PREÇO', 'NA', 'TV', 'SMART', 'SAMSUNG']",['preço'],['excelente'],['entrega'],['dentro do prazo combinado'],,"[[14, 15]]","[[13, 14]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
"Era o que eu tava precisando! Tv ótima, perfeita pra colocar no quarto.","['Era', 'o', 'que', 'eu', 'tava', 'precisando', '!', 'Tv', 'ótima', ',', 'perfeita', 'pra', 'colocar', 'no', 'quarto', '.']",['tv'],['ótima'],['produto'],['o que eu tava precisando'],,"[[7, 8]]","[[8, 9]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Gostei muito. Foi muito fácil a realização da compra e consequente o processo de entrega foi muito rápido.,"['Gostei', 'muito', '.', 'Foi', 'muito', 'fácil', 'a', 'realização', 'da', 'compra', 'e', 'consequente', 'o', 'processo', 'de', 'entrega', 'foi', 'muito', 'rápido', '.']",['entrega'],['muito rápido'],['produto'],['gostei muito'],,"[[15, 16]]","[[17, 19]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
Produto entregue antes do prazo previsto nota 10 amei produto recomendo ótima qualidade parabéns pela qualidade e atendimento acompanhei o produto dês do depósito até a entrega obrigado,"['Produto', 'entregue', 'antes', 'do', 'prazo', 'previsto', 'nota', '10', 'amei', 'produto', 'recomendo', 'ótima', 'qualidade', 'parabéns', 'pela', 'qualidade', 'e', 'atendimento', 'acompanhei', 'o', 'produto', 'dês', 'do', 'depósito', 'até', 'a', 'entrega', 'obrigado']",[],[],[],[],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"A melhor,pode confiar .Para ver a copa melhor, vá com a Samsung","['A', 'melhor', ',', 'pode', 'confiar', '.Para', 'ver', 'a', 'copa', 'melhor', ',', 'vá', 'com', 'a', 'Samsung']",[],[],['produto'],['melhor'],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
O processador dela é meio lento mas tirando isso é um ótimo aparelho.,"['O', 'processador', 'd', 'ela', 'é', 'meio', 'lento', 'mas', 'tirando', 'isso', 'é', 'um', 'ótimo', 'aparelho', '.']","['processador', 'aparelho']","['meio lento', 'ótimo']",[],[],,"[[1, 2], [13, 14]]","[[5, 7], [12, 13]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
Atendeu mto bem as minhas espectativas e minhas necessidades... Excelente produto!!!,"['Atendeu', 'mto', 'bem', 'as', 'minhas', 'espectativas', 'e', 'minhas', 'necessidades', '...', 'Excelente', 'produto', '!', '!', '!']",['produto'],['excelente'],['produto'],['atendeu mto bem as minhas espectativas e minhas necessidades'],,"[[11, 12]]","[[10, 11]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
"Recomendo, pois o produto atendeu a todas as minhas expectativas!","['Recomendo', ',', 'pois', 'o', 'produto', 'atendeu', 'a', 'todas', 'as', 'minhas', 'expectativas', '!']",['produto'],['atendeu a todas as minhas expectativas'],['produto'],['recomendo'],,"[[4, 5]]","[[5, 11]]","['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Gostei muito da TV. Muito leve e fácil de ser instalada. Foi entregue muito antes do prazo. Ótima compra.,"['Gostei', 'muito', 'da', 'TV', '.', 'Muito', 'leve', 'e', 'fácil', 'de', 'ser', 'instalada', '.', 'Foi', 'entregue', 'muito', 'antes', 'do', 'prazo', '.', 'Ótima', 'compra', '.']","['tv', 'compra']","['gostei muito', 'ótima']","['peso', 'instalação', 'entrega']","['leve', 'fácil de ser instalada', 'antes do prazo']",,"[[3, 4], [21, 22]]","[[0, 2], [20, 21]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
"eu ameii essa televisão pois pega wifi, netflix e youtube","['eu', 'ameii', 'essa', 'televisão', 'pois', 'pega', 'wifi', ',', 'netflix', 'e', 'youtube']","['televisão', 'wifi', 'netflix', 'youtube']","['ameii', 'pega', 'pega', 'pega']",[],[],,"[[3, 4], [6, 7], [8, 9], [10, 11]]","[[1, 2], [5, 6], [5, 6], [5, 6]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'B-ASP']"
"Excelente. Recomendo para quem não precisa acessá-la através de bluetooth, mas o Wifi também é excelente.","['Excelente', '.', 'Recomendo', 'para', 'quem', 'não', 'precisa', 'acessá-la', 'através', 'de', 'bluetooth', ',', 'mas', 'o', 'Wifi', 'também', 'é', 'excelente', '.']",['wifi'],['excelente'],"['produto', 'produto']","['excelente', 'recomendo']",,"[[14, 15]]","[[17, 18]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
produto muito bom entrega no antes do prazo. imagem excelente só o alto falante que tem uma diferença entre as outras marcas mas nada que atrapalhe.,"['produto', 'muito', 'bom', 'entrega', 'no', 'antes', 'do', 'prazo', '.', 'imagem', 'excelente', 'só', 'o', 'alto', 'falante', 'que', 'tem', 'uma', 'diferença', 'entre', 'as', 'outras', 'marcas', 'mas', 'nada', 'que', 'atrapalhe', '.']","['produto', 'entrega', 'imagem', 'alto falante']","['muito bom', 'antes do prazo', 'excelente', 'diferença entre as outras marcas']",[],[],1,"[[0, 1], [3, 4], [9, 10], [13, 15]]","[[1, 3], [5, 8], [10, 11], [18, 23]]","['B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Essa TV é “quase” uma smart tv. Funciona bem na internet, mas falta compatibilidade para som externo e controle remoto virtual (no smartphone ou tabela). Deixa a desejar.","['Essa', 'TV', 'é', '“', 'quase', '”', 'uma', 'smart', 'tv', '.', 'Funciona', 'bem', 'na', 'internet', ',', 'mas', 'falta', 'compatibilidade', 'para', 'som', 'externo', 'e', 'controle', 'remoto', 'virtual', '(', 'no', 'smartphone', 'ou', 'tabela', ')', '.', 'Deixa', 'a', 'desejar', '.']","['tv', 'internet']","['“quase” uma smart tv', 'funciona bem']",['produto'],['deixa a desejar'],,"[[8, 9], [13, 14]]","[[3, 9], [10, 12]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
O aparelho é de boa qualidade e até o momento atendeu às minhas expectativas e necessidades.,"['O', 'aparelho', 'é', 'de', 'boa', 'qualidade', 'e', 'até', 'o', 'momento', 'atendeu', 'à', 's', 'minhas', 'expectativas', 'e', 'necessidades', '.']",['aparelho'],['boa qualidade'],['produto'],['atendeu às minhas expectativas e necessidades'],,"[[1, 2]]","[[4, 6]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mto bom imagem e áudio sistema um pouco lento mas por ser da quarta geração e pelo preço oferece o melhor custo beneficio das tvs de baixo custo,"['Mto', 'bom', 'imagem', 'e', 'áudio', 'sistema', 'um', 'pouco', 'lento', 'mas', 'por', 'ser', 'da', 'quarta', 'geração', 'e', 'pelo', 'preço', 'oferece', 'o', 'melhor', 'custo', 'beneficio', 'das', 'tvs', 'de', 'baixo', 'custo']","['imagem', 'áudio', 'sistema', 'custo beneficio']","['mto bom', 'mto bom', 'um pouco lento', 'melhor']",[],[],,"[[2, 3], [4, 5], [5, 6], [21, 23]]","[[0, 2], [0, 2], [6, 9], [20, 21]]","['O', 'O', 'B-ASP', 'O', 'B-ASP', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O']"
"tudo funcionando bem, ate agora satisfeito, apenas os encaixes para colocar os parafusos no suporte de parede nao serviram...","['tudo', 'funcionando', 'bem', ',', 'ate', 'agora', 'satisfeito', ',', 'apenas', 'os', 'encaixes', 'para', 'colocar', 'os', 'parafusos', 'no', 'suporte', 'de', 'parede', 'nao', 'serviram', '...']",['encaixes para colocar os parafusos'],['nao serviram'],['produto'],['funcionando bem'],,"[[10, 15]]","[[19, 21]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
O produto Samsung é excelente e difícil dar algum problema e muito bom,"['O', 'produto', 'Samsung', 'é', 'excelente', 'e', 'difícil', 'dar', 'algum', 'problema', 'e', 'muito', 'bom']",['produto samsung'],['excelente'],['produto'],['muito bom'],,"[[1, 3]]","[[4, 5]]","['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Ele é um produto muito bom e inteligente. Recomendo muito,"['Ele', 'é', 'um', 'produto', 'muito', 'bom', 'e', 'inteligente', '.', 'Recomendo', 'muito']",['produto'],['muito bom e inteligente'],['produto'],['recomendo muito'],,"[[3, 4]]","[[4, 8]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Ótima tv, boa definição de som, imagem e design .","['Ótima', 'tv', ',', 'boa', 'definição', 'de', 'som', ',', 'imagem', 'e', 'design', '.']","['tv', 'som', 'imagem', 'design']","['ótima', 'boa definição', 'boa definição', 'boa definição']",[],[],,"[[1, 2], [6, 7], [8, 9], [10, 11]]","[[0, 1], [3, 5], [3, 5], [3, 5]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'B-ASP', 'O']"
"Smart TV de fácil instalação, ótima imagem e controle remoto de fácil manuseio!","['Smart', 'TV', 'de', 'fácil', 'instalação', ',', 'ótima', 'imagem', 'e', 'controle', 'remoto', 'de', 'fácil', 'manuseio', '!']","['instalação', 'imagem', 'controle remoto']","['fácil', 'ótima', 'fácil manuseio']",[],[],,"[[4, 5], [7, 8], [9, 11]]","[[3, 4], [6, 7], [12, 14]]","['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O']"
"Excelente smart, adorei meu produto, correspondeu a todas minhas expectativas. Super recomendo.","['Excelente', 'smart', ',', 'adorei', 'meu', 'produto', ',', 'correspondeu', 'a', 'todas', 'minhas', 'expectativas', '.', 'Super', 'recomendo', '.']","['smart', 'produto']","['excelente', 'adorei']","['produto', 'produto']","['correspondeu a todas minhas expectativas', 'super recomendo']",,"[[1, 2], [5, 6]]","[[0, 1], [3, 4]]","['O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Uma tv de ótima qualidade, tudo certo, chegou no tempo previsto. Adorei","['Uma', 'tv', 'de', 'ótima', 'qualidade', ',', 'tudo', 'certo', ',', 'chegou', 'no', 'tempo', 'previsto', '.', 'Adorei']",['tv'],['ótima qualidade'],"['entrega', 'produto']","['no tempo previsto', 'adorei']",,"[[1, 2]]","[[3, 5]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
