prompt,completion
"Produto moderno, com design atual, imagem e som excelentes, somente o smartphone que demora excessivamente para carregar, algumas vezes, fechar sozinho. No geral muito bom.","produto
design
imagem
som
smartphone"
"Eu comprei no intuito de assistir vídeos do YouTube com minha filha, porém a sincronia do smartphone com a tv cai a Td momento (Não é possível trocar de vídeo através do celular somente pelo controle). Nos demais aspectos é ok.",sincronia
Excelente TV recomendo Valeu investimento Imagem perfeita Entrega antes do tempo,"tv
imagem
entrega"
"Entrega rápida, produto veio em ótimo estado, atendeu com as expectativas.",entrega
"Um ótimo aparelho, qualidade de imagem excelente, smart funcional (um pouco lento para iniciar, mas nada que seja suficiente para não indicar o produto), conexão wi-fi e cabo, duas portas USB e HDMI sendo uma das portas USB de 1A (o que permite que sejam conectados HDs externos). No geral uma ótima aquisição.","aparelho
imagem
smart"
"Tv linda, muito facil de usar. Entrega das Americanas foi rapida e eficiente. Recomendo!","tv
entrega"
"Ótima televisão, com muitos recursos. Utilizo muito o recurso Screen Mirroing, espelhando a tela do celular na tela da TV.","televisão
recursos
screen mirroing"
Bom Sempre comprei TV desta marca mais tive problemas com o display quebrou internamente sem qualquer batida ou torção e o pior o concerto sai mais caro que uma nova,""
"Trata-se de uma smart tv da marca samsung, sendo essa marca muito boa, no entanto as funções relativas a conexão com internet e outros aplicativos deixa muito a desejar, digo isso porque há um ano atrás eu comprei uma outra smart tv da marca samsung sendo que essa outra assim eu avaliaria com 5 estrelas, comprei essa tv pensando ser muito similar a que comprei antes , no entanto não posso deixar de dizer que me decepcionei. Não é uma televisão ruim, mas comparando com o outro modelo que possuo não tem a menor comparação.","conexão com internet
outros aplicativos"
Gostei da TV tem uma excelente resolução e de fácil uso,"tv
resolução
uso"
"É uma mercadoria muito boa, chegou dentro do prazo,e estou satisfeita!",mercadoria
Tv de otima qualidade recomendo imagem e som de otima qualidade.,"tv
imagem
som"
"Muito boa a tv. Amei! Exelente entrega, chegou bem antes do prazo. Só não consegui parcelar no cartão Amaricanas!","tv
entrega"
"Prática, excelente imagem! A entrega foi bem antes do programado!","imagem
entrega"
"Alem do produto ser ótimo, a entrega foi espetacular...chegou bem antes do informado. Parabéns!!!","produto
entrega"
"Rapidez, Boa qualidade e preocupação em manter o cliente informado do destino do produto...",""
"Estou adorando minha TV Smart Samsung. Excelente marca, excelente produto, excelente entrega! Parabéns Americanas!","tv smart samsung
marca
produto
entrega"
"Comprei a tá baseada na marca (que gosto), funcionalidades e preço. Foi uma boa relação de custo beneficio.",custo beneficio
"Produto de qualidade, chegou no prazo como de costume. Já é a segunda que eu compro do mesmo modelo. Recomendo.",produto
"Imagem ótima recursos de web bons , recomendo não vai se arrepender","imagem
recursos de web"
"Essa TV atendeu minhas expectativas, en tudo, facil de acessar a internet, até a qualidade do som me surpreendeu, mui boa.","tv
internet
som"
Gostei muito! Apenas para captar o sinal digital de tv aberta é mais difícil do que outras marcas .exige uma antena UHF potente,sinal digital
"Ótima TV, recomendo, qualidade excelente, vou comprar outra, entrega rápida...","tv
entrega"
"produto bom, o som que dessa a desejar,o que o conteudo fala cumpre smart tv conecta rapido,","produto
som
smart tv"
"Muito bom produto. Só faltou mais uma entrada USB. Smart TV eficiente, imagem ótima, controle remoto simplificado e eficiente.","produto
entrada usb
smart tv
imagem
controle remoto"
"Comprei a TV e me surpreendi com a qualidade da mesma tanto que comprei mais uma . Smart Tv funciona muito bem. ótimo produto, recomendo.","tv
tv
produto"
"Muito bom o produto, leve, fácil de montar, imagem e audio excelentes.","produto
imagem
audio"
Ótima TV porem tem recursos listados que não funcionam como deveriam como o PIP (Picture in Picture) mas é uma ótima TV e recomendo!!,"tv
recursos
tv"
"Boa imagem, smart hub fácil de usar. O áudio poderia ser um pouco melhor.","imagem
smart hub
áudio"
"Excelente. Recomendo para quem não precisa acessá-la através de bluetooth, mas o Wifi também é excelente.",wifi
"Tv nota dez, recomendo, show de televisao, podem comprar !","tv
televisao"
"Super recomendo. Smart tv muito boa, imagem bem nítida, excelente custo benefício.","smart tv
imagem
custo benefício"
"Tv boa, para quem compra com o intuito de assistir Netflix, Youtube. Qualidade da imagem deixa a desejar. Também é lenta para conectar o wifi.","tv
qualidade da imagem"
"Uma tv de ótima qualidade, tudo certo, chegou no tempo previsto. Adorei",tv
Trava toda hora as vezes roda 3 horas depois trava e 2 minutos controle como louco sai ou só tirando parede e religando para reiniciar sistema de processamento fraco.,processamento
"Função smart com iniciação lenta, mas depois que inicia é bem rápida pra rodar conteúdos. De vez em quando ela trava que é preciso tirar da tomada. Acho que é uma característica da samsung, pois os smartphones da marca são assim também.",função smart
"Bom produto, estou satisfeito com a compra. custo beneficio razoável.","produto
custo beneficio"
"Ótimo produto, atende bem as especificações e as minhas necessidades.",produto
"Imagem muito boa, a funçao smart funciona muito bem, o som é um pouco ruim, pois é baixo e não tem qualidade muito boa, tenho outra da Sony de 32 polegadas e o som é bem melhor","imagem
funçao smart
som
som
som"
chegou muito rápido. E a qualidade é muito boa. Eu recomendo...,""
"A imagem e os recursos da TV são bons, tem boa conectividade com a internet. Mas o som, parece de radinho de pilha, irritante.","imagem
recursos
conectividade
som"
"A TV Smart Samsung 32"""" atende satisfatoriamente a necessidade em relação ao seu preço.",preço
"PARABENS AO SUBMARINO, QUE ENTREGOU DENTRO DO PRAZO COMBINADO, ALEM DE EXCELENTE PREÇO NA TV SMART SAMSUNG",preço
O som é um pouco fraco e a televisão bastante lenta pra conectar na internet e acessar os aplicativos. Depois que estabelece conexão funciona perfeitamente.,"som
televisão"
"Gostei do produto , facil manuseio, excelente imagem o som é bom , mais poderia melhorar, não gostei dos pezinhos de suporte são frageis e não dão muita segurança da a impressão que a tv pode cair. recomendo a compra.","produto
manuseio
imagem
som
pezinhos de suporte
pezinhos de suporte"
"Produto de ótima qualidade, chegou dentro do prazo e com um ótimo preço!","produto
preço"
"Dei a TV de presente para o meu Neto, e está tudo OK.",tv
"Amei!!! Aparelho fácil de usar e de fácil configuração! Acesso rápido a internet. Show de bola! Vou comprar a de 48""""","configuração
internet"
Só deixa a desejar a parte de som dela mas não deixaria de comprar por causa disto.,som
"Atende a necessidade para quarto de criança, porém o volume deixa a desejar.",volume
"Adorei a Smart Samsung, pois atendeu a todas as minhas expectativas, o melhor, superou minhas expectativas, pois tem muitas funções a mais do que eu esperava. Chegou antes do prazo previsto... Super recomendo.","smart samsung
smart samsung
smart samsung
funções"
amei a tv melhor do que eu esperava e a entrega foi antes do dia ameiiiii,"tv
entrega"
"Muito boa TV! Bons recursos e imagem excelente! O som poderia ser melhor, mas nada de tão ruim...","tv
recursos
imagem
som"
"Ótimo produto, superou as espectativas. Loja está de parabéns, entrega rápida.","produto
entrega"
"Smart TV superou minhas expectativas, funções com controle intuitivos, design moderno, consumo de energia A, recomendo.","smart tv
funções com controle
design
consumo de energia"
"Tudo funcionou muito bem nesta compra, desde o pedido pelo aplicativo até a entrega muito eficaz, visto que a compra foi feita na Black Friday chegou bem antes do esperado! A TV é ótima! Recomendo e voltarei a comprar!","entrega
tv"
"Comprei o produto para meu quarto, atendeu todas as minhas expectativas conforme informações técnicas. Eu recomendo, e a Americanas meus parabéns pela entrega antecipada! Extremamente grato!","produto
entrega"
"Imagem e som com ótima qualidade, levíssima, conexão rapida com Internet, um ponto negativo são os parafusos para instalar na parede...nenhum serve, tive que comprar um jogo em uma casa espcializada em parafusos.","imagem
som
conexão
parafusos"
Imagem excelente. Função Smart funciona muito bem. Ponto negativo são as conexões de cabos que ficam na parte traseira o que atrapalha um pouco em casos de suportes proximos a parede. Demais nota geral 9. Recomendo!!!,"imagem
smart
conexões de cabos"
"Ótimo produto, preço bom, condições de pagamento melhores ainda. Entrega super rápida. Conforme descrito no site. Recomendo.","produto
preço
condições de pagamento
entrega"
"Pensei que seria mais moderna, que o controle já viria com tudo programado, como vi na propaganda,mias está funcionando bem.",controle
"O produto é muito bom, só não vem com app instalados, mais é muito prático.","produto
app instalados"
Muito bom. Algo que pode melhorar é a quantidade de aplicativos disponíveis pra download. Os que têm lá não são muito úteis. Mas a qualidade da TV é ótima.,"quantidade de aplicativos
tv"
"O submarino como sempre entregou antes do prazo marcado , mas o som da televisão é realmente baixo.",som
"Tem como colocar 10 estrelas ??? Simplesmente amei a minha TV nova , amo comprar nas Americanas , chega sempre antes do prazo !!!",tv
"Bom produto pelo preço. Atendeu minhas expectativas e eu recomendaria o produto para quem quer acesso a netflix por um preço acessível. O único ponto negativo é que demora um pouco para iniciar os apps da smart, mas nada muito significativo, pode ser normal de smart TVs, mas como nunca tive, não sei fazer uma comparação neste sentido.","produto
produto
apps"
ate u momento atendeu minhas expequitativas ... imagem boa audio tbm,"imagem
audio"
"Excelente qualidade de imagem,mesmo com antena interna.Minha única crítica refere-se ao app BABIDIBOO TV que deveria oferecer programação infantil ,mas que encerrou suas atividades em abril/17.",imagem
"Entrega muito rápida , estou muito satisfeito com o produto. , E me arrependo de não ter comprado outros produtos com vcs , a americanas está de parabéns ...","entrega
produto"
"Produto excelente. Tenho outra TV de 40"""" e o controle remoto é melhor, pois possu em destaque a tecla """"SMART HUB"""". Tirando isso, é a mesma TV com o recurso de assistir filmes pela internet através do Wi-Fi, porém com tamanho menor da tela.",produto
"tv smart muito boa,atende tudo que necessitamos,meu filho gostou muito dessa smart","tv smart
smart"
"Prós - Entrega no prazo, em perfeito estado, aparência bonita. Contras - Laterais deveriam ter botões de volume, trocar de canais, etc...ou seja, tente não estragar o controle remoto.","entrega
aparência
laterais"
"A tv é lenta pra iniciar os aplicativos, ela não possui muitos ajustes pra deixar a imagem melhor, como a da LG, o som não é bom. Essa smart apenas """"quebra o galho""""!","imagem
som
essa smart"
"Mais uma vez sendo surpreendido pela rapidez de entrega das Lojas Americanas, produto com ótimo custo e benefício, com excelente imagem, apenas o som deveria ser melhor, mas nada que deixa a desejar, posso dizer que é bom o som.... Super recomendo Americanas.","entrega
custo e benefício
imagem
som
som"
"Produto muito bom, e chegou antes do prazo estipulado. Estou muito satisfeita.",produto
"Gostei muito. Fácil de instalar, leve e bonita. Qualidade de imagem impecável. Único defeito que tem é o som que não é muito bom, eu tenho que colocar quase na metade do som para ouvir, isso que está no quarto!","qualidade de imagem
som"
"Ótimo produto, gostei muito da televisão era o que eu esperava, e parabéns a americana pelo compromisso com a entrega, chegou antes do prazo","produto
televisão
entrega"
Preço justo. Acabamento perfeito. Aplicativos na medida. Entrega dentro do prazo.,"preço
acabamento
aplicativos
entrega"
"Conforme o anúncio, comprei o modelo J4300, Porém a MegaMamute entregou a NE595. Qdo solicitei a troca, informaram que esta vinha com 2 controles e o produto era superior ao do anúncio. Mentira! O controle é péssimo, a TV é muito lenta, Além da imagem ser péssima. Não consigo contato com ninguém, estou decepcionado realmente.","controle
tv
imagem"
boa imagem e funciona sem problemas. Parabéns ao Shoptime! recebi rigorosamente dentro do prazo.,imagem
"Produto incrível, amei! Não tem ponto ruins, não poderia esperar menos da Samsung. Entrega super dentro no prazo.","produto
entrega"
Fantastico. É uma máquina de video e audio. A entrega foi rápida e eficiente e a instalação mais simples ainda.,"video
audio
entrega
instalação"
"Tv de excelente custo beneficio, muito bom para quem tem criança.",custo beneficio
Som da tv veio com auto falante estourado! Som da tv veio com auto falante estourado! Som da tv veio com auto falante estourado! Som da tv veio com auto falante estourado! Som da tv veio com auto falante estourado! Som da tv veio com auto falante estourado! Som da tv veio com auto falante estourado!,""
"a smart tv 32 samsung é de simples operação e com muitos recursos. Eu acredito que a samsung tenha resolvido o problema de vico oculto que ocorria nas smart tv pouco mais antiga. O shoptimer e a entrega é nota 1000,","operação
recursos
entrega"
"Samsung é sem comparação. porem esse modelo em comparação a linhas maiores, tem um desempenho menor, porem para um modelo de entrada e pelo preço, muito top... recomendo",desempenho
"Muito boa, atende a todas as minhas expectativas, tanto do prazo de entrega, quanto ao desempenho do produto. Muito fácil de utilizar. Muito leve, ideal para fixar na parede. Gostei muito e recomendo.","prazo de entrega
desempenho
utilizar"
Muito boa a smart tv gostei super recomendo as pessoas Minha filha está amando foi um presente para ela .,smart tv
"O produto é de qualidade, bonito, imagem perfeita, estou super satisfeito, recomendo.","produto
imagem"
Ótimo produto e a entrega super rápida. Submarino está de parabéns com a logística.,"produto
entrega"
"Comprar esta TV só faz sentido se você for obrigado a usar uma de 32 polegadas e as da LG estiverem em falta. Pagando muito pouco a menos você compra uma maior com outro nível de qualidade, como as Panasonic, LG ou a própria Samsung. Comprei esta aqui e devolvi: o com dela é completamente ridículo, consegue ser pior que o som de um smartphone. A imagem dela está sempre estourada nas partes claras ou escura demais se você diminuir a iluminação traseira e brilho. Cores desbotadas como se o painel não acendesse direito. A favor dela seria a fluidez na maioria das funções desde que não esteja no Netflix, porque daí ela começa a ficar muito lenta, até o volume fica lento. E ela tem muitas funções, mas nada compensa a qualidade tão ruim de imagem e som. Mas o Submarino, como sempre, nota 10. Obviamente a falta de qualidade da TV não é culpa deles.","com
imagem
imagem
som"
"O produto por mim adquirido superou as minhas expectativas em tamanho, funcionalidade, qualidade de imagem e sua atribuiçoes oferecidas. Excelente televisão.","tamanho
funcionalidade
imagem
atribuiçoes oferecidas
televisão"
adorei a tv atendeu minhas expectativas ...e a entrega muito rapida .,"tv
entrega"
"A tv é show, só falta ser full hd, mas aumentaria o preço. Compraria mais uma para o outro quarto. Funciona bem e é rapida","tv
full hd
preço"
Excelente TV o som e um pouco baixo mais nem tanto se colocar na função futebol o som melhora eu comprei para o quarto a imagem e de primeira a função Smart e excelente o wifi e de qualidade eu comprei uma e meu filho outra.já tenho outra Smart da Samsung e todas são top pode comprar não vai se arrepender.,"tv
som
imagem
função smart
wifi"
"Chegou bem antes do prazo. Leve, facil de utilizar e instalar. Recomendo!",""
"Ótimo produto, superou o que meu pensamento, as vezes ela trava, reinicio e volta ao normal. Recomendo, pois tem por ai cada uma que compra hoje e se arrepende amanhã.",produto
Não tem como não se apaixonar por um produto Samsung! Televisão nota 1000!,televisão
Dei de presente a smart tv sansung p minha neta. Ela odorou....,""
"De fato, como relatado por muitos, o volume da TV é baixo, mas como comprei ciente disso, e com a finalidade de colocar no quarto, então estou satisfeita com o produto, com base no ambiente de destino, todavia se fosse para uma sala, talvez fosse melhor uma TV maior, ou com um volume melhor, mas para o quarto está perfeita, e estou muito, muito satisfeita.",volume
"Comprei na BlackFriday, veio antes do previsto. É uma televisão leve, boa para colocar no quarto. E veio com dois controles, não sei bem o pq.",controles
Produto de ótima qualidade e funcionalidade. De fácil manuseio e configuração.,"produto
funcionalidade
manuseio
configuração"
Excelente sintonia dos canais. Perfeita a conexão pelo wi fi. Net flix é tudo de bom. Recomendo. Samsung é Samsung.,"sintonia
conexão"
"Entrega bem antes do prazo, muito satisfeita com o produto.","entrega
produto"
"Excelente TV , Atendeu minhas Expectativas. Além do Baixo custo tem uma Qualidade de imagem que surpreende, A Função Smart TV, com Acesso Ao Youtube, e outros Aplicativos abrem com Maior Rapidez e resolução de imagem Excelente. Ao Adquirir esta bela TV, comprem o Cabo de Fibra Optica, pra quem tem Home Theather vai ficar um som e tanto. parabéns também a transportadora DIRECT . Entregou Antes do prazo estipulado. e parabéns também Ao site Submarino.","tv
tv
custo
qualidade de imagem
resolução de imagem"
gostei muito desta marca tenho 6 Samsung na minha casa,marca
"Muito boa, fácil de montar e de instalar, super leve, ótimo custo beneficio.",custo beneficio
muito bom ate agora sem reclamacao eu indico esse produto,produto
Vale o custo-benefício. Excelente aquisição. O preço é justo e cumpre com o desejado.,"custo-benefício
preço"
"Eu recomendo este produto! Qualidade excelente. Tudo funcionando impecavelmente, sem contar o prazo da entrega, pois comprei com o frete na econômica, e chegou bem antes do que eu esperava.","produto
entrega"
"Produto de alta qualidade. Super recomendo.Otimo prazo, atendimento rápido e seguro. Produto entregue dentro do prazo esperando.","produto
prazo
atendimento"
"produto ótimo, entrega antes do prazo previsto, parabéns a parceria. continuo comprando . após falhar paro! e compreu uma para minha filha .","produto
entrega"
A tv e boa só que é muito frágil as funções anunciada como futebol não tem muita diferença a tela fica mais clara com som mais agudo. a parte da smart funciona bem vai depender da velocidade da sua casa. em fim é uma TV boa para ter no quarto dos filhos para desenho com segunda TV .A Samsung economizou no acabamento e no pedestal obs TV muito leve quando chegou achei que a caixa estava vazia,"tv
tv
funções
som
smart
tv
acabamento
pedestal"
"Entrega antes do prazo, até me surpreendi quando chegou.. A televisão veio em perfeito estado e atendeu minhas expectativas.",entrega
"Comprei para presentear meu marido, e ficamos felizes, pois é um produto muito bom! E parabéns a Americanas pela rapidez e eficiência. Colocamos no quarto.",produto
"TV muito boa e a entrega das Americanas é sempre muto rápida,","tv
entrega"
"Entrega rápida, com rastreamento, produto bem embalado e de boa qualidade.","entrega
produto
produto"
"Produto muito bom, atendeu minhas expectativas. Aqui foi o lugar mais barato que encontrei. E a entrega foi bem antes do prazo previsto.","produto
produto
entrega"
"É um televisor que uma ótima Marca. Ótimo Custo benefício para uma TV de 32"""".","marca
custo benefício"
"Lindo produto, excelente imagem, ótimas funcionalidades! Comprei para o meu quarto, ficou ótimo!","produto
imagem
funcionalidades"
Super recomendo. A loja entregou dentro do prazo e sem avarias. Sua instalação foi fácil e já estou assistindo até Netflix. Adorei!,instalação
"Boa smart TV, mas o som é fraco não parece realmente ter os 20w q propõe","smart tv
som"
"Ainda não recebe o produto, por isso não posso avaliar o produto",""
"A tv atendeu a expectativa, é perfeita, super fácil de configurar. recomendo! o prazo de entrega me impressionou: comprei no dia 17/5 pela manhã e dia 19/05 na parte da tarde a TV estava sendo entregue no meu endereço.","tv
tv
prazo de entrega"
"demora para abrir os menis e por ser 120 mhz, menus deveriam ser mais rápidos.",""
"Amei minha Tv, a imagem é ótima, e entrega antes do prazo, eu recomendo.","tv
imagem
entrega"
"ÓTIMA IMAGEM, FÁCIL ACESSO À INTERNET COM WIFI INTEGRADO, YOUTUBE, NETFLIX... PERFEITA!!!","imagem
acesso à internet"
"Entrega rápida, muito satisfeita com a aquisição. Imagem, som e funções dentro do esperado.","entrega
aquisição
imagem
som
funções"
"ÓTIMA TV, ENTREGA RÁPIDA. FÁCIL CONFIGURAÇÃO. SMART SHOW DE BOLA.","tv
entrega
configuração
smart"
"produto ótimo super indico, chegou antes do prazo, muito fácil a instalação. amei.","produto
produto
instalação"
"A Smart TV é ótima, mas têm alguns pontos que podiam ser melhores, por ex: quando você acessa os aplicativos, e volta pra tv, entra nos aplicativos novamente, enfim, quando você interage muito com ela, as vezes ela trava e é necessário desligá-la retirando a tomada da força. Fora isso o produto atende as necessidades, imagem boa, som bom.","smart tv
produto
imagem
som"
"Melhorar o áudio do produto, o som não é dos melhores,no mais fiquei satisfeito com a compra.","som
compra"
"É um ótimo produto! Gostei muito. Qualidade da imagem perfeita, funções rápidas. Excelente!","produto
imagem
funções"
Pelo preço poderia vir mais algumas entradas usb e hdmi,entradas usb e hdmi
"já tenho um modelo igual, comprei outro por gostar desse produto, ótima qualidade de imagem.","produto
imagem"
Só acho que a resposta aos comandos do controle remoto são lentas.,resposta aos comandos
"Ela demora um pouco pra conectar na inicialização mas em si o produto é excelente, ótima qualidade de som e imagem!!","produto
som
imagem"
"Recebi a poucos dias, entrega super rápida, metade do prazo dado,estou gostando bastante,imagem ótima e som muito bom, li algumas críticas sobre o som mas não tenho que reclamar minha tv está no quarto para mim o som está ótimo!","entrega
imagem
som
som"
E uma ótima tv. Pena que nao é 4 k nao fazem 32 ainda.,tv
É um excelente produto muito prático e fácil de usar.,produto
"A Smart tv led 32 samsung tem ótima imagem, o produto é muito bom.","imagem
produto"
Uso até como monitor do meu PC . Excelente imagem c entradas HDMI e USB facilita em tudo.,imagem
"Aparelho com excelente definição de imagens, responde rápido aos comandos e de fácil instalação/operação, resumindo: um produto que com certeza agrada a um grande número de usuários. Ideal para espaços médios.","imagens
comandos
instalação
operação
produto"
"Gostei muito da Tv, fácil instalação e configuração. Estou aproveitando muito","tv
instalação
configuração"
"Tv perfeita , imagem boa , som bom , conexão rapida! Não tenho do que reclamar!","tv
imagem
som
conexão"
"Produto de excelente qualidade. Imagem ,som tudo muito bom. Recomendo.","produto
imagem
som"
"Não é uma TV espetacular, mas resolve bem num quarto para os filhos.",tv
"Produto maravilhoso, chegou em ótimo estado e muito antes do prazo. Amei amei amei, super recomendo. É de confiança.",produto
Entrega muita qualidade bom custo benefício deixa a desejar um pouco no áudio.,"custo benefício
áudio"
"Não gostei do áudio, muito frágil. Achei a antiga que eu tinha muito melhor.",áudio
"O áudio é diferente de outro modelo tb Samsung q temos (42 pol). Acredito q a qualidade da caixa de áudio neste modelo é diferente (inferior), porém não é um problema, mas como temos o outro modelo de TV percebemos a diferença do áudio.",qualidade da caixa de áudio
Estou satisfeito com a aquisição...e prazo de entrega foi excelente..,prazo de entrega
"Entrega dentro do prazo previsto. Tem navegador para internet bom, mas a SmarTV tem um delay que prejudica suas funções.","entrega
navegador para internet
smartv"
"Produto muito bom, chegou perfeito e antes da data prevista. Parabéns Americanas.",produto
Só achei que o tempo poderia contar apatia da aprovação da conta e não dá emissão da nota. Mas o produto é ótimo.,produto
"Gostei bastante. TV HD, muito boa imagem, o som não e muito bom, mas pro quarto tá legal. Da pra acessar ou tube, Netflix e muito mais. Legal.","tv
imagem
som"
"Super recomendo, meu sobrinho adorou. E as Americanas está de parabéns, super rápido a entrega!!",entrega
"Muito boa a TV.. . Atendeu minhas expectativas, e a entrega excelente!","tv
entrega"
"Chegou dentro do prazo, ótima televisão, só achei o áudio um pouco baixo, nada que a configuração não ajude,recomendo !","televisão
áudio"
"A TV e bem rápida e promete tudo que tem no anúncio, entrega chegou com 3 dias de antecedência, ela é realmente grande, tem muitos aplicativos, já tive tv Samsung que durou 5 anos e vendi com ela funcionando normal, mais a opção de garantia estendida ajudaria muito quem for comprar, utilizem ela com estabilizador de 1000va","entrega
aplicativos"
Parabens pra Sansung a smart tv eh tudo de bom e parabens as Americanas pelo atendimento nota 10 .,"sansung
smart tv
atendimento"
"Entrega rápida, antes do previsto, produto original com garantia, ótima SMART. Recomendo","entrega
entrega
produto
smart"
"Imagem perfeita, recomendo o produto. Americanas sempre confiável, entrega super rápida.","imagem
produto
entrega"
"Poucas aplicações disponíveis no SmartHub comparado com o equivalente na LG Sistema operacional do SmartTV demora muito para carregar depois que a TV é ligada. Comparada com a LG, em que o Sistema operacional permanece pré carregado em stand by após desligado.","smarthub
sistema operacional"
"produto otimo dentro do que eu esperava , fico aguardando os proximos lançamentos da sansung.",produto
Produto muito bom. O produto foi entregue antes do prazo.,produto
"Muito boa, tenho uma outra smart tv de outra marca q a internet não pega...",""
"Gostei muito da tv ,boa imagem,som bom também,só a função smart poderia ser um pouco mais intuitiva ,poderia ter botão YouTube e netflix no controle remoto para entrar direto","tv
imagem
som
função smart
botão youtube e netflix"
"Ótimo produto. Algumas pessoas reclamaram da qualidade do som. Bom, na hr q liguei tbém achei meio baixo, mas daí fui nas configurações, fiz algumas alterações lá e ficou ótimo!","produto
som"
som muito ruim pessimo e nao e full hd a imagem nao e muito boa,"som
imagem"
"A entrega foi dentro do esperado, produto de ótima qualidade. Recomendo.","entrega
produto"
"Produto excelente, melhor do que eu imaginava. Como sempre a samsung surpreendendo.",produto
fiquei muito feliz pela tv otimo produto obrigado loja americana pela entrega rapida,"tv
produto
entrega"
Melhor marca é Samsung. Sem dúvida esta é uma tv ótima. Recomendo.,"samsung
tv"
"Ótima compra! Recomendo! Chegou dentro do prazo previsto. Por ser Wi-Fi, pensei que ficaria travando, mas pelo contrário, funciona perfeitamente.",""
"Excelente produto, ótimo preço. A TV é muito leve, fina.","produto
preço"
"Tv atendeu minha expectativa , foi entregue antes do tempo determinado,por isso gosto de comprar no SUBMARINO..............",tv
"Produto chegou no tempo determinado e muito bem embalado, recomendo, não tive problemas algum !",""
"Produto de excelente qualidade, chegou dentro do prazo, tudo em ordem, já instalado e funcionado muito bem. RECOMENDO.",produto
"Boa noite ! Nem cheguei a utilizar a TV , veio com defeito. O pior eu tenho que levar para conserto na assistencia tecnica, não retiram . Uma vez que nem cheguei a utilizar o correto era efetuar a troca do produto",tv
"smart tv com diversos aplicativos úteis, excelente produto para filmes e seriados.... a entrega foi muito rápida. a forma de pagamento disponibilizada pela submarino foi fundamental para aquisição da tv.","smart tv
produto
entrega
forma de pagamento"
"Li uma avaliaçaõ desta Tv e nela falava que não conectava wifi com menos de 10 megas, e não é verdade, aqui tem internet de 4 megas e conectou normalmente, muito bom! Adorei. E a entrega foi super rápida, dois dias úteis.","wifi
entrega"
"TV muito lenta para acessar NETFLIX e YOUTUBE. Impressionante como demora para acessar isso quando acessa de primeira. Arrependido de ter pego essa TV mas ok, nunca mais caio nessa.","tv
tv"
"Recomendo a aquisição deste produto. Leve, simples de usar e de alta qualidade. Som e imagem perfeitas. Entrega muito satisfatória.","produto
qualidade
som
imagem
entrega"
"Atendeu expectativa, só o som que achei meio abafado não sei se não soube configurar o áudio ainda.",som
"Comprei duas pelo aplicativo! Chegaram por transportadora! As Smart's são ótimos produtos; e com wi-fi integrado! Bonitas, e me custaram 22% abaixo das lojas físicas!!! Frete 0800; cupom de desconto do 'app' e o desconto do pagamento em boleto, hehehe... Super recomendo, rs...","produtos
wi-fi"
"Eu achei o produto, bom, o material que foi feito achei bem fraquinho ,espero que não pife depois de um amor","produto
material"
"A Tv é boa, mas o som deixa a desejar, não possui graves e a qualidade do áudio não é boa !","tv
som
áudio"
Tv ótima p quem procura de tudo q uma smart tv tem... show!!!,tv
Excelente relação custo-benefício. Produto atende as necessidades com preço muito justo.,"custo-benefício
produto
preço"
"Comprar nas americanas.com é garantia de entrega rápida, pois chegou bem antes da data de entrega. A tv superou minha expectativa . Facil de instalar e cumpre o prometido na especificação. Recomendo!!","entrega
entrega
tv
instalar"
Não gostei do produto por que comprei o mesmo para atender as minhas necessidades e não atendeu.,produto
"Conexão muito lenta...até para ligar/desligar, volume é demorado. Som muito baixo.","conexão
volume
som"
"Meu irmão comprou recentemente, mas acabou se decepcionando ao saber que não tinha a resolução ideal para ser usada junto ao Bluray e mídias com resolução Full HD (1.920 x 1.080 linhas). Obs.: este televisor é HD e não Full HD. Atenção!","resolução ideal
televisor"
"Chegou antes do prazo e ótimo armazenamento, as lojas americanas é fora do sério. Estamos muito satisfeitos com a nossa tv smart Samsung","armazenamento
tv smart samsung"
"Era o que eu tava precisando! Tv ótima, perfeita pra colocar no quarto.",tv
"Como eu paguei menos de 1000 reais por esse produto não é de todo mal, mas os menus são lentos, as imagens regulares (não espere nada demais, apenas quis comprar esse produto pois estava cansado das telas manchadas da LG) mas o som é o que todo mundo comenta, é um desastre.","menus
imagens
som"
"TV que atendeu às minhas expectativas. 32'', que para meu quarto ficou perfeita. Bom som e imagem. Recomendo. Além de tudo SMART.","tv
som
imagem"
"Eu adoro a marca Samsung, já tenho uma TV na sala há 4 anos e é maravilhosa. Já conhecia as qualidades da TV, então, não esperava nada menos. Estou muito satisfeita.",""
A SMART TV atendeu minhas expectativas. Assisto muitos filmes na Netflix. Recomendo!,smart tv
"Entrega rápida e excelente produto compro sempre por aqui e sempre deu tudo certo,TV maravilhosa tudo funcionando mto bem!!!","entrega
produto
tv"
Ótima .gostei muito. Recomendo muito boa smart tv. preço justo e boa qualidade,"smart tv
preço"
"Atendeu todas as minhas expectativas. Se a internet não estiver instável, tudo funciona perfeitamente.",""
"Entrega bem antes do prazo, imagem, internet muito boa! Recomendo.","entrega
imagem
internet"
